issn_l,citescore_analogo
1980-9026,0.0
1944-3277,0.0
1980-1726,0.21
1939-0211,3.06
1941-1243,0.91
1980-4016,0.04
1980-7694,0.09
1980-0584,0.1
1980-1165,0.16
1980-5128,0.1
1980-4466,0.08
1980-3540,0.0
1980-3141,0.3
1980-5586,0.34
1980-9700,0.06
1980-8879,0.06
1980-1793,0.0
1942-0986,0.0
1981-223X,0.16
1982-1263,0.23
1981-982X,0.77
1981-8963,0.66
1981-1179,0.16
1981-0695,0.0
1981-0997,2.0
1981-6278,0.36
1980-993X,0.7
1981-8203,0.42
1982-131X,0.28
1981-8068,0.09
1981-9951,0.21
1982-3053,0.01
1982-1921,0.03
1982-1956,0.26
1981-4526,0.01
1982-2596,0.25
1982-3932,0.0
1981-1322,0.26
1981-7061,0.25
1981-9269,0.01
1981-1659,0.68
1982-3916,0.07
1982-1247,0.64
1981-3686,0.17
1982-5153,0.1
1982-4238,0.0
1981-2434,0.05
1981-5921,0.07
1981-0601,0.0
1982-2103,0.04
1982-3878,0.05
1982-4866,0.06
1981-9145,0.14
1981-8858,0.0
1982-2111,0.02
1981-5603,0.0
1982-1867,0.0
1982-3282,0.2
1982-5587,0.21
1983-5175,0.2
1983-8034,0.17
1983-8018,0.04
1982-7199,0.22
1983-6597,0.2
1983-9391,0.07
1983-4195,0.58
1983-1870,0.11
1983-0408,0.42
1982-7679,3.05
1983-4675,0.12
1982-8470,0.48
1983-4535,0.29
1983-0572,0.43
1983-1579,0.16
1983-3695,0.69
1983-3652,1.19
1982-873X,0.2
1983-7011,0.15
1983-0246,0.19
1982-5374,0.08
1983-9472,0.08
1982-8632,0.18
1983-4713,0.19
1982-7652,0.15
1983-3482,0.0
1982-6273,0.0
1982-7490,0.0
1983-4373,0.0
1983-3873,0.02
1983-053X,0.0
1982-8608,0.02
1983-5590,0.11
1983-0823,0.0
1983-442X,0.0
1983-6422,0.09
1982-792X,0.0
1983-3253,0.0
1983-6791,0.05
1996-1073,4.16
1996-1944,3.87
1988-7833,0.12
1989-4155,0.21
1988-5245,0.1
1996-0875,52.27
1984-2295,0.42
1989-5488,1.19
1984-6835,0.09
1984-8250,0.73
1988-5202,2.04
1984-3011,0.13
1984-5510,0.1
1984-2279,0.0
1983-9928,0.14
1984-4247,0.03
1984-428X,0.23
1984-9648,0.81
1984-0292,0.18
1984-4301,0.07
1984-3755,0.07
1984-7246,0.11
1984-6436,0.05
1989-6239,0.35
1984-6487,0.14
1984-6428,0.72
1984-6657,0.12
1991-7740,0.51
1984-3801,31.0
1984-817X,0.0
1984-879X,0.0
1984-3178,0.09
1984-1655,0.09
1984-9915,0.13
1984-252X,0.0
1984-1736,0.0
1984-3534,0.0
1984-4891,0.02
1984-7505,0.24
1984-8625,0.0
2045-2322,4.39
2041-1723,15.51
2046-2069,6.25
2044-6055,2.16
1999-4915,3.79
1999-4907,3.09
2045-7758,2.2
2053-1591,2.58
1999-4923,6.38
2049-0801,1.52
2054-5703,3.46
2042-8812,0.55
2050-7283,3.61
2048-8505,3.41
2050-7038,2.82
2053-3624,2.15
2050-2974,3.23
2052-1847,2.67
2046-2441,3.77
2047-7473,1.09
2055-0928,2.52
2039-439X,3.16
2043-0116,0.0
2048-6790,1.87
2036-7473,2.55
2054-3581,1.53
2047-7724,2.52
2050-0513,3.21
2056-9920,2.8
2011-2173,0.59
2039-4705,5.11
2055-2173,1.03
2008-000X,3.29
2027-4297,0.34
2036-9913,0.24
2056-5909,3.99
2036-7457,0.77
2011-8643,0.0
2053-8871,0.0
2049-9752,0.0
2071-1050,4.72
2076-3417,3.29
2077-0383,3.16
2072-6643,5.32
2072-6694,4.45
2076-2615,2.8
2079-4991,5.43
2073-4395,4.19
2075-4418,3.35
2076-2607,4.25
2073-4425,2.94
2072-666X,3.52
2077-0472,4.1
2076-3921,7.62
2073-4344,4.32
2076-393X,3.72
2079-6382,5.18
2079-4983,4.86
2079-7737,3.08
2076-0817,3.51
2072-6651,3.76
2075-4426,4.16
2076-328X,3.23
2075-1702,2.96
2079-6374,5.98
2075-4442,3.54
2075-4663,2.85
2079-9721,3.31
2057-5858,3.14
2075-4434,2.32
2090-0708,2.27
2090-0724,3.24
2075-6461,0.15
2077-9917,0.87
2084-8404,0.97
2070-2620,0.93
2090-1240,1.14
2090-0007,0.68
2075-8693,0.0
2058-3702,0.0
2158-3226,2.17
2162-2337,3.6
2152-7806,0.89
2090-9063,2.8
2151-4755,0.94
2150-1351,0.78
2157-944X,0.52
2090-6684,0.21
2155-9597,0.0
2090-6625,0.24
2153-2249,0.79
2162-5336,0.48
2156-8251,1.36
2093-3665,1.03
2095-4964,3.62
2162-1918,4.65
2096-5451,2.14
2161-783X,3.08
2146-8966,0.32
2145-5880,0.04
2157-7099,0.0
2161-3311,6.76
2161-623X,2.57
2151-1950,0.83
2090-214X,1.2
2153-7658,0.7
2148-9955,1.75
2090-6641,0.34
2147-7612,0.39
2090-2247,1.91
2160-5831,0.47
2159-5828,0.0
2149-9322,0.82
2145-4981,0.16
2164-0629,2.35
2090-2867,4.67
2164-2540,0.0
2090-5661,0.0
2090-4436,0.0
2090-5122,0.0
2168-8184,1.0
2169-3536,5.23
2167-8359,2.88
2168-0485,6.55
2169-7574,1.01
2169-8287,0.0
2168-6777,2.91
2166-2746,1.81
2172-038X,0.27
2174-2049,0.0
2175-3946,0.19
2175-6600,0.11
2176-5472,0.0
2175-7275,0.21
2165-3402,0.5
2176-9079,0.35
2176-4573,0.33
2176-1515,0.28
2175-3369,0.54
2175-2834,1.61
2175-3180,0.0
2176-9036,0.16
2176-2708,0.01
2175-7429,0.11
2176-171X,0.13
2175-1609,0.1
2176-1477,0.16
2169-5717,0.6
2176-6649,0.13
2176-2171,0.24
2175-0858,0.62
2176-5782,0.03
2175-5027,0.55
2176-9559,0.16
2176-7955,0.25
2175-6805,0.0
2175-6015,0.94
2174-7210,0.33
2173-1276,0.11
2175-4217,0.0
2178-2091,0.19
2178-6925,0.65
2178-9010,0.46
2177-2789,0.15
2178-7514,0.13
2177-4285,0.33
2177-157X,0.2
2177-6164,0.0
2177-5184,0.7
2177-7691,0.04
2178-7468,0.15
2178-695X,0.14
2177-8310,0.44
2178-5198,0.18
2178-227X,0.59
2178-180X,0.0
2178-843X,0.0
2177-093X,0.21
2178-5880,0.0
2177-6202,0.03
2177-2770,0.0
2177-6172,0.0
2178-1842,0.13
2177-3548,0.03
2178-7638,0.12
2177-4919,0.04
2178-3845,0.05
2178-1176,0.05
2178-2911,0.09
2178-9770,0.02
2178-6054,0.0
2177-6830,0.0
2177-4218,0.0
2178-0463,0.19
2179-1465,0.06
2179-2518,0.0
2179-2321,0.0
2178-258X,0.0
2179-1902,0.0
2178-4957,0.0
2194-5357,0.66
2190-3018,0.31
2212-4403,0.43
2191-4281,3.25
2190-5444,2.75
2211-0984,0.35
2193-6331,0.07
2212-4292,5.23
2190-6815,5.01
2211-0348,2.14
2211-9264,4.2
2192-5682,2.04
2210-7789,0.77
2211-8160,6.37
2211-7156,4.61
2211-3355,2.33
2190-5509,2.15
2190-4286,3.39
2191-1630,3.86
2212-1099,0.57
2190-5991,5.96
2191-0855,3.5
2191-1363,2.38
2193-6315,0.86
2195-3880,1.37
2179-426X,0.06
2179-7692,0.43
2184-7770,0.41
2179-6750,0.04
2210-4410,3.89
2179-2534,0.02
2183-6051,0.43
2179-8435,0.06
2179-4510,0.04
2179-4200,0.31
2179-5746,0.0
2179-7501,0.14
2179-5320,0.0
2179-6742,0.0
2184-982X,0.0
2234-943X,2.35
2213-2929,5.41
2223-7747,4.23
2227-9717,3.1
2214-0697,6.72
2227-9059,4.29
2227-9032,3.0
2212-8271,1.68
2218-273X,5.39
2235-2988,4.09
2214-7144,6.63
2227-9067,2.34
2218-1989,3.7
2218-1997,2.28
2224-5820,2.48
2227-9040,4.59
2212-8778,5.96
2212-6864,6.98
2224-4336,1.32
2218-6581,3.37
2231-0894,0.4
2214-4269,1.21
2218-4333,1.9
2230-9926,0.08
2215-017X,6.4
2213-7114,0.67
2236-1170,0.09
2236-1960,1.07
2236-2983,0.17
2236-2878,0.24
2216-0973,1.12
2216-0159,0.26
2231-1866,1.19
2214-854X,1.18
2236-1987,0.48
2218-7332,0.48
2236-3637,0.16
2236-1367,0.34
2236-1103,0.0
2212-8263,0.0
2237-9363,0.03
2236-6814,0.05
2236-5834,0.15
2238-2704,0.18
2238-6270,0.02
2238-6084,0.03
2238-3360,0.13
2236-6091,0.15
2236-918X,0.31
2237-4558,0.14
2236-5184,0.0
2236-532X,0.1
2237-6321,0.09
2236-3785,0.0
2237-1508,0.11
2236-3904,0.3
2237-3667,0.17
2237-5864,0.13
2237-1427,1.45
2238-0205,0.0
2238-1031,0.0
2236-9600,0.08
2237-4450,0.14
2238-0345,0.11
2236-6407,0.27
2237-6984,0.04
2237-4957,0.03
2237-1095,0.14
2238-0000,0.11
2237-261X,0.24
2238-6009,0.0
2237-4329,0.06
2237-6151,0.02
2236-7268,0.0
2238-4502,0.0
2237-4574,0.03
2236-885X,0.0
2237-9436,0.57
2237-6917,0.0
2238-4251,0.0
2261-236X,0.73
2296-2565,3.09
2304-8158,5.76
2297-055X,2.14
2296-2360,1.61
2305-5839,5.46
2287-8572,2.07
2311-7524,3.22
2296-875X,1.35
2309-608X,3.68
2296-889X,3.6
2306-7381,1.75
2255-4971,0.0
2247-8051,0.56
2311-5637,4.43
2311-5521,2.29
2308-3425,2.1
2254-7630,0.11
2278-3008,23.89
2291-2789,1.31
2238-8753,0.38
2288-5919,1.82
2288-176X,1.49
2238-8869,0.31
2238-7234,0.38
2238-913X,0.21
2255-5536,0.0
2238-8346,0.18
2238-8079,0.14
2284-0265,0.82
2255-5021,0.0
2255-4823,0.0
2238-832X,0.13
2238-9709,0.0
2238-717X,0.12
2302-1616,0.1
2248-4418,0.21
2238-8893,0.08
2255-4963,0.0
2238-9636,0.17
2314-6133,0.96
2317-3009,0.12
2314-7156,2.65
2313-7673,3.94
2317-1782,0.4
2317-4692,0.78
2316-9907,0.67
2316-9281,0.43
2317-434X,0.13
2317-3076,0.29
2317-269X,0.07
2317-1537,1.11
2316-333X,0.05
2316-8498,0.29
2316-9230,0.24
2317-3394,0.34
2317-2932,0.04
2317-1154,0.28
2317-0956,0.02
2317-8582,0.08
2316-347X,0.09
2317-8507,0.44
2313-8971,0.38
2317-9430,0.06
2316-9834,0.89
2317-4609,0.29
2316-8544,0.03
2317-563X,0.11
2317-3688,0.0
2316-7580,0.0
2317-8825,0.19
2316-9451,0.0
2317-7136,0.0
2316-1442,0.21
2317-0751,0.0
2316-8765,0.88
2317-3092,0.13
2317-028X,0.1
2314-5706,0.0
2317-6628,0.25
2319-7692,4.1
2318-3349,0.0
2327-6983,1.28
2350-0530,0.2
2318-7670,0.43
2319-0612,0.21
2318-8472,0.05
2318-8219,0.1
2325-7075,0.08
2325-1026,3.71
2325-9574,1.3
2327-7033,1.88
2318-8413,0.11
2318-6674,0.67
2318-8790,0.14
2318-4965,0.37
2318-5090,0.1
2332-8940,3.29
2325-0984,1.7
2323-5233,0.29
2347-520X,0.09
2318-8960,0.06
2346-3775,0.71
2318-0811,0.11
2318-8855,0.0
2318-9584,0.19
2325-4394,1.36
2318-9851,0.16
2318-5694,0.48
2344-9195,0.04
2318-8111,0.0
2318-6186,0.0
2328-2223,0.0
2322-9411,0.0
2318-4051,0.09
2318-9568,0.0
2329-3268,0.63
2330-0396,2.2
2332-2799,0.0
2333-6706,5.4
2352-152X,9.37
2352-4928,4.03
2352-3409,2.28
2351-9789,0.0
2358-2472,0.14
2359-0793,0.04
2352-9385,2.76
2358-8306,0.04
2352-507X,8.05
2352-2143,3.07
2358-8853,0.11
2358-7490,0.17
2359-1412,0.03
2358-0844,0.16
2358-5587,0.14
2358-6303,0.38
2357-9730,0.0
2359-0424,0.11
2359-0769,0.31
2358-1883,1.32
2357-8181,0.28
2358-0828,0.0
2359-0106,0.22
2359-0580,0.0
2358-8845,0.12
2358-6125,0.05
2358-2391,0.37
2358-5390,0.33
2357-9617,0.31
2358-7504,0.07
2359-1064,0.0
2358-2499,0.1
2357-724X,0.15
2358-4122,0.04
2358-2286,0.11
2358-4610,0.05
2358-3568,0.0
2358-3401,0.17
2358-0089,0.0
2358-1271,0.0
2367-3370,0.49
2405-8440,7.69
2366-2557,0.31
2399-5300,0.17
2365-6549,2.1
2399-3642,5.47
2405-4577,0.84
2375-1916,0.39
2373-8227,4.09
2374-4235,2.54
2399-3669,5.14
2369-2960,4.2
2359-3997,1.61
2359-5787,0.13
2373-6437,0.28
2359-6856,0.2
2374-6939,0.23
2359-4330,0.27
2373-6410,0.1
2405-6030,0.65
2359-6910,0.01
2373-437X,0.47
2365-421X,3.71
2363-8907,2.11
2369-2529,2.05
2359-4799,0.19
2359-3466,0.09
2359-6902,0.1
2359-2087,0.0
2399-3421,1.45
2359-2370,0.0
2359-4489,0.36
2382-4018,0.39
2359-6082,0.34
2359-3482,0.0
2367-1890,0.8
2395-4205,0.41
2359-4748,0.12
2359-2710,0.0
2410-4701,1.05
2448-0959,0.05
2447-0961,0.15
2411-2933,0.06
2414-6366,2.86
2448-0916,0.06
2411-5142,2.07
2451-9103,4.93
2447-2034,0.32
2446-6220,0.0
2452-2198,3.13
2446-4813,0.32
2447-8938,0.08
2446-922X,0.22
2447-536X,0.92
2447-5580,0.18
2446-4732,1.44
2448-2455,0.3
2448-167X,0.52
2447-0783,0.2
2447-2689,0.82
2414-6641,0.38
2446-9424,0.97
2447-3529,0.5
2447-1267,0.04
2447-617X,0.04
2448-6302,0.03
2446-4821,4.0
2411-1783,0.09
2447-6293,0.0
2446-7901,0.36
2447-7117,0.0
2447-8156,0.16
2448-2803,0.0
2447-6099,0.17
2447-3944,0.0
2447-4606,0.03
2448-4245,0.0
2447-6447,0.19
2448-2978,0.0
2447-4924,0.0
2469-9950,3.51
2470-0010,5.15
2470-1343,4.15
2525-3409,0.31
2469-9926,2.63
2470-0045,2.34
2472-1972,0.45
2468-0230,3.78
2475-9953,2.71
2456-1908,0.34
2523-3920,2.81
2523-8973,0.29
2509-2715,4.63
2516-8290,1.53
2516-3507,1.03
2522-5731,3.73
2471-5638,1.5
2525-4863,0.12
2454-6348,0.07
2525-426X,0.03
2522-5790,0.58
2509-5579,0.48
2523-3106,2.71
2475-0360,2.7
2524-8987,4.8
2516-2330,0.0
2525-507X,0.33
2469-5718,0.0
2525-5444,0.12
2525-703X,0.06
2504-3137,1.15
2515-2270,3.41
2525-376X,0.12
2520-8454,1.03
2525-7056,0.19
2525-6092,0.08
2525-3050,0.0
2452-5812,0.22
2525-4472,0.0
2474-9214,0.74
2525-8761,0.43
2531-1379,0.09
2572-9241,2.85
2526-8732,0.02
2525-8311,0.02
2525-7870,0.18
2564-7040,0.6
2526-8910,0.45
2525-9008,0.0
2525-8036,0.04
2527-2675,0.09
2573-9832,1.66
2525-8923,0.11
2526-1010,0.26
2573-8488,1.61
2571-8797,4.89
2526-3544,0.05
2548-0839,1.94
2573-2919,0.39
2526-849X,0.07
2527-0524,0.0
2526-7647,0.11
2525-815X,0.29
2526-6136,0.28
2527-0141,0.07
2526-2874,0.24
2527-1849,0.12
2526-5970,0.07
2527-1288,0.1
2525-9563,0.02
2526-3943,0.07
2527-2039,0.11
2526-9550,0.22
2526-8007,0.27
2526-2122,0.05
2527-0915,0.0
2526-4052,0.05
2526-7914,0.0
2526-9461,0.08
2573-363X,1.5
2589-0042,4.22
2574-0970,5.89
2574-0962,4.91
2576-098X,0.69
2595-573X,0.14
2589-014X,2.92
2589-1529,2.75
2595-1661,0.2
2594-5394,0.07
2595-3621,0.2
2575-7938,0.58
2595-0118,0.32
2595-4520,0.04
2578-5478,1.15
2587-0831,1.63
2595-2803,0.04
2574-1225,0.59
2576-4454,1.73
2574-8130,0.14
2586-7210,1.57
2595-4431,0.03
2594-6463,0.33
2594-9179,0.03
2595-0967,0.08
2595-4911,0.09
2594-3901,0.08
2589-9791,1.57
2594-5467,0.08
2595-1459,0.0
2594-6307,0.0
2594-6412,0.03
2578-7470,1.77
2577-4301,0.17
2595-1521,0.0
2595-1033,0.03
2595-4229,0.0
2591-5339,0.0
2577-2236,0.24
2594-7354,0.0
2590-1532,0.0
2595-6825,0.18
2631-8695,1.46
2624-9367,2.13
2667-2421,2.7
2644-125X,5.07
2665-9271,6.57
2596-1969,0.0
2624-7402,3.12
2673-3161,2.18
2595-8402,0.17
2644-1314,4.12
2666-8319,6.12
2595-7899,0.12
2666-5174,3.87
2639-216X,0.4
2666-142X,3.91
2673-3129,3.87
2624-5175,2.37
2666-3376,2.46
2666-335X,0.93
2644-1241,2.77
2613-4942,0.0
2617-4839,0.07
2631-5343,1.54
2634-2235,1.08
2666-9781,5.23
2640-2734,0.24
2634-4793,0.65
2596-0016,0.11
2666-5069,2.03
2667-3436,1.57
2659-8620,0.19
2596-156X,0.0
2596-3082,0.32
2596-3155,0.06
2630-4953,3.67
2640-2645,0.56
2595-7651,0.1
2643-4008,0.2
2596-1403,0.18
2675-3375,0.16
2674-8169,0.29
2675-6218,0.2
2675-4711,0.07
2675-7451,0.08
2674-9432,0.12
2673-7647,2.11
2674-8703,0.13
2675-519X,0.23
2673-7515,2.49
2674-5976,0.13
2673-5318,1.43
2675-4916,0.22
2674-7081,0.08
2675-8008,0.16
2675-2999,0.13
2674-9009,0.04
2673-4125,1.57
2674-7189,0.15
2674-9270,0.08
2673-4184,1.21
2673-5601,2.1
2675-3626,0.22
2674-1334,5.51
2675-3065,0.0
2674-1024,2.78
2673-3846,1.88
2675-4673,0.01
2675-7222,0.0
2675-9616,0.12
2675-1003,0.0
2675-1933,0.0
2675-1526,0.19
2673-706X,3.18
2675-3359,0.06
2675-4398,0.03
2674-0710,1.4
2674-709X,0.0
2675-3006,0.05
2675-4177,0.0
2764-0159,0.05
2772-9508,4.7
2764-1317,0.11
2766-2276,0.41
2772-3747,1.93
2763-9134,0.06
2764-1589,0.27
2763-583X,0.04
2763-5724,0.22
2724-5683,2.04
2764-0884,0.11
2764-0973,0.03
2675-9780,0.74
2724-606X,1.16
2731-4561,0.59
2694-2461,4.51
2764-3417,0.86
2710-1452,0.42
2694-2445,3.21
2724-6329,1.44
2702-4288,1.74
2763-8898,0.09
2763-8405,0.16
2731-5533,2.4
2768-6655,2.21
2763-6119,0.14
2676-0029,0.31
2764-0337,0.02
2763-7824,0.28
2683-7404,0.04
2764-6645,0.0
2763-8030,0.24
2763-5783,0.03
2771-4683,2.87
2764-5576,0.09
2764-1422,0.1
2694-1724,0.27
2763-9010,0.0
2766-0664,0.05
2692-4706,0.2
2965-1476,0.01
2949-8228,2.55
2965-6613,0.08
3005-0774,0.92
2965-6672,0.01
2966-2931,0.1
2949-8244,2.77
2966-1668,0.11
3065-8993,0.58
2950-1946,4.17
2950-1997,1.31
2949-8295,3.63
2966-2249,0.06
2965-1980,0.02
2965-0968,0.17
2831-3267,0.92
2828-9269,0.23
2813-0413,1.8
3085-6124,0.14
2965-1557,0.14
2773-093X,1.46
2832-8280,1.23
3033-3318,1.07
2832-4463,0.29
2788-6492,0.17
2833-2237,0.45
2941-198X,7.77
3029-133X,3.65
2965-0356,0.01
2813-3064,1.23
2965-1662,0.09
3064-9765,0.65
2977-3504,1.78
3029-1232,0.82
2965-0771,0.03
2966-0408,0.19
2996-0975,0.28
2966-3806,0.03
2815-9241,3.29
3071-2521,0.0
