doi,title,year,n_patentes
10.1002/eji.1830211106,Evidence for an association between human resistance to Schistosoma mansoni and high anti-larval IgE levels.,1991,1
10.1590/s0074-02762001000900023,Report of the Second Satellite Symposium on Ultrasound in Schistosomiasis,2001,3
10.1681/asn.2014030288,Gut Bacteria Products Prevent AKI Induced by Ischemia-Reperfusion,2015,1
10.3389/fmicb.2017.01790,New Insights into the Diversity of the Genus Faecalibacterium,2017,2
10.1016/j.snb.2021.130651,Reactive oxygen plasma treatment of 3D-printed carbon electrodes towards high-performance electrochemical sensors,2021,4
10.1371/journal.pone.0037584,"TLR2, TLR4 and the MYD88 Signaling Pathway Are Crucial for Neutrophil Migration in Acute Kidney Injury Induced by Sepsis",2012,2
10.1016/j.molcatb.2013.01.011,Protein hydrolysis using proteases: An important tool for food biotechnology,2013,11
10.1016/j.humimm.2012.06.003,Local cytokine profiles of patients with cervical intraepithelial and invasive neoplasia,2012,3
10.1111/psyp.13052,Reference values for short-term resting-state heart rate variability in healthy adults: Results from the Brazilian Longitudinal Study of Adult Health-ELSA-Brasil study.,2018,1
10.4269/ajtmh.2006.75.739,Immunologic tests in patients after clinical cure of visceral leishmaniasis,2006,1
10.3389/fmicb.2017.00876,"In silico Prediction, in vitro Antibacterial Spectrum, and Physicochemical Properties of a Putative Bacteriocin Produced by Lactobacillus rhamnosus Strain L156.4.",2017,1
10.1186/s12882-020-01960-0,Renal expression of cytokines and chemokines in diabetic nephropathy,2020,1
10.1155/2013/164202,Anti-Inflammatory Effects of Ellagic Acid on Acute Lung Injury Induced by Acid in Mice,2013,1
10.1128/cdli.8.1.112-118.2001,Anti-Trypanosoma cruzi Immunoglobulin G1 Can Be a Useful Tool for Diagnosis and Prognosis of Human Chagas' Disease,2001,2
10.1002/cne.23533,Lateral habenula and the rostromedial tegmental nucleus innervate neurochemically distinct subdivisions of the dorsal raphe nucleus in the rat.,2014,1
10.1016/j.phrs.2010.04.005,The activity of medicinal plants and secondary metabolites on eosinophilic inflammation.,2010,3
10.1016/s0030-6665(20)31087-2,Otitis media: the pathogenesis approach. Definitions and terminology.,1991,1
10.1016/j.transproceed.2007.01.036,Mesenchymal stem cells ameliorate tissue damages triggered by renal ischemia and reperfusion injury.,2007,9
10.1063/1.3652905,Procedure for measuring electrical resistivity of anisotropic materials: A revision of the Montgomery method,2011,2
10.1111/j.1600-051x.2010.01586.x,Regulatory T cells attenuate experimental periodontitis progression in mice,2010,8
10.1016/s1473-3099(01)00065-2,Clinical and epidemiological aspects of Chagas disease,2001,1
10.1186/s12955-019-1090-4,The impact of an exercise program on quality of life in older breast cancer survivors undergoing aromatase inhibitor therapy: a randomized controlled trial,2019,1
10.1002/eji.200940115,Human mucosal leishmaniasis: neutrophils infiltrate areas of tissue damage that express high levels of Th17-related cytokines.,2010,37
10.1016/j.jesf.2014.10.002,"Influence of sex on cytokines, heat shock protein and oxidative stress markers in response to an acute total body resistance exercise protocol",2015,3
10.1016/j.livsci.2019.103904,Automated computer vision system to predict body weight and average daily gain in beef cattle during growing and finishing phases,2020,3
10.1016/j.virusres.2020.198021,On the interactions of the receptor-binding domain of SARS-CoV-1 and SARS-CoV-2 spike proteins with monoclonal antibodies and the receptor ACE2.,2020,13
10.1097/00003246-200205000-00017,Failure of neutrophil chemotactic function in septic patients.,2002,3
10.1155/2014/269681,Neonatal Sepsis and Inflammatory Mediators,2014,1
10.1016/j.humimm.2009.01.007,Th1/Th2 immune responses are associated with active cutaneous leishmaniasis and clinical cure is associated with strong interferon-γ production,2009,1
10.1007/s10311-018-0789-5,"Glyphosate detection: methods, needs and challenges",2018,2
10.4049/jimmunol.1200730,Exogenous Administration of 15d-PGJ2–Loaded Nanocapsules Inhibits Bone Resorption in a Mouse Periodontitis Model,2012,1
10.5306/wjco.v5.i3.495,Pattern response of dendritic cells in the tumor microenvironment and breast cancer,2014,2
10.1016/j.mrgentox.2005.04.006,Evaluation of the clastogenicity and anticlastogenicity of the carotenoid bixin in human lymphocyte cultures,2005,31
10.1155/2015/178369,"AT-RvD1 Modulates CCL-2 and CXCL-8 Production and NF-κB, STAT-6, SOCS1, and SOCS3 Expression on Bronchial Epithelial Cells Stimulated with IL-4",2015,1
10.1111/j.1365-2249.2008.03672.x,Identification and characterization of Mycobacterium tuberculosis antigens in urine of patients with active pulmonary tuberculosis: an innovative and alternative approach of antigen discovery of useful microbial molecules,2008,5
10.1155/2014/872827,Establishing standards for studying renal function in mice through measurements of body size-adjusted creatinine and urea levels.,2014,2
10.1021/acs.jcim.0c01320,Shedding Light on the Inhibitory Mechanisms of SARS-CoV-1/CoV-2 Spike Proteins by ACE2-Designed Peptides.,2021,1
10.1007/s10103-015-1752-3,Low-level laser therapy on bone repair: is there any effect outside the irradiated field?,2015,1
10.1371/journal.pntd.0000965,BALB/c mice infected with antimony treatment refractory isolate of Leishmania braziliensis present severe lesions due to IL-4 production.,2011,1
10.1007/s12010-008-8214-3,"Comparing the efficacy of chlorine, chlorine dioxide, and ozone in the inactivation of Cryptosporidium parvum in water from Parana State, Southern Brazil.",2008,7
10.1186/s13071-015-0634-7,Immunosuppressive effects of Amblyomma cajennense tick saliva on murine bone marrow-derived dendritic cells.,2015,2
10.1155/2013/678180,The importance of C4d in biopsies of kidney transplant recipients.,2013,1
10.1084/jem.20090383,"Variants of CTGF are associated with hepatic fibrosis in Chinese, Sudanese, and Brazilians infected with schistosomes.",2009,12
10.1109/tla.2016.7459621,Artificial Neural Networks Applied to Image Steganography,2016,2
10.3390/s141121950,A Combined Method for Segmentation and Registration for an Advanced and Progressive Evaluation of Thermal Images,2014,4
10.1007/s12015-019-09897-0,Enhancing the Therapeutic Potential of Mesenchymal Stem Cells with the CRISPR-Cas System.,2019,4
10.1016/j.physa.2017.10.021,Supersymmetric quantum mechanics method for the Fokker–Planck equation with applications to protein folding dynamics,2018,1
10.1186/s12864-019-6430-6,The pan-genome of Treponema pallidum reveals differences in genome plasticity between subspecies related to venereal and non-venereal syphilis,2020,1
10.1111/epi.16595,Drebrin expression patterns in patients with refractory temporal lobe epilepsy and hippocampal sclerosis,2020,1
10.4166/kjg.2020.76.3.150,Arthrospira (Spirulina) platensis Attenuates Dextran Sulfate Sodium-induced Colitis in Mice by Suppressing Key Pro-inflammatory Cytokines.,2020,1
10.4137/cmo.s12268,Influence of Immunotherapy with Autologous Dendritic Cells on Innate and Adaptive Immune Response in Cancer,2013,2
10.3390/nano12234301,Evaluation of Photoelectrocatalysis with Electrode Based on Ti/RuO2-TiO2 Modified with Tin and Tantalum Oxides for the Degradation of Indigo Blue Dye.,2022,2
10.1016/j.imbio.2023.152357,Macrophage Migration Inhibitory Factor contributes to drive phenotypic and functional macrophages activation in response to Toxoplasma gondii infection.,2023,1
10.3109/08860229809045088,Acute Renal Failure in Experimental Envenomation with Africanized Bee Venom,1998,1
10.1111/j.1525-1438.2007.00922.x,Circulating neutrophils may play a role in the host response in cervical cancer,2007,1
10.1046/j.1537-2995.1995.35996029154.x,Prevention of transfusion‐associated Chagas' disease: efficacy of white cell‐reduction filters in removing Trypanosoma cruzi from infected blood,1995,2
10.1128/cvi.00010-08,Identification of Mycobacterium tuberculosis ornithine carboamyltransferase in urine as a possible molecular marker of active pulmonary tuberculosis.,2008,8
10.1371/journal.pone.0083446,Polymorphism in the alpha cardiac muscle actin 1 gene is associated to susceptibility to chronic inflammatory cardiomyopathy.,2013,2
10.1109/pes.2011.6039335,Development of detection and classification stages for a new distance protection approach based on cumulants and neural networks,2011,2
10.1155/2012/595694,Role of Leukotrienes on Protozoan and Helminth Infections,2012,1
10.1159/000093676,Influence of TH1/TH2 switched immune response on renal ischemia-reperfusion injury.,2006,1
10.1590/s0037-86821999000500004,Frequency of diabetes mellitus and hyperglycemia in chagasic and non-chagasic women,1999,2
10.1016/s0887-7963(96)80057-5,Strategies for Prevention of Transfusion-Associated Chagas' Disease,1996,5
10.1111/j.1365-3024.1992.tb00005.x,Selective inability of spleen antigen presenting cells from Leishmania donovani infected hamsters to mediate specific T cell proliferation to parasite antigens,1992,7
10.1016/s0165-1838(99)00042-9,Morphology of aortic depressor nerve myelinated fibers in normotensive Wistar-Kyoto and spontaneously hypertensive rats.,1999,1
10.1080/09540105.2017.1306492,"Effects of short-term consumption of Morinda citrifolia (Noni) fruit juice on mice intestine, liver and kidney immune modulation",2017,1
10.1097/ijg.0b013e31820d7e4e,Silicone Ahmed glaucoma valve with and without intravitreal triamcinolone acetonide for neovascular glaucoma: randomized clinical trial.,2012,1
10.1016/j.imbio.2015.04.004,"Galectin-9 as an important marker in the differential diagnosis between oral squamous cell carcinoma, oral leukoplakia and oral lichen planus",2015,1
10.1021/la300193m,High enzymatic activity preservation with carbon nanotubes incorporated in urease-lipid hybrid Langmuir-Blodgett films.,2012,2
10.1186/s13027-018-0216-3,PIK3CA mutations are frequent in esophageal squamous cell carcinoma associated with chagasic megaesophagus and are associated with a worse patient outcome,2018,1
10.1016/j.pdpdt.2017.08.009,Chitosan-based mucoadhesive gel for oral mucosal toluidine blue O delivery: The influence of a non-ionic surfactant.,2017,1
10.1111/jam.14381,"A new acridone with antifungal properties against Candida spp. and dermatophytes, and antibiofilm activity against C. albicans.",2019,2
10.1371/journal.pone.0108633,Phylogenetic Analysis of Phenotypically Characterized Cryptococcus laurentii Isolates Reveals High Frequency of Cryptic Species,2014,4
10.1016/j.bmcl.2012.08.047,Isomannide derivatives as new class of inhibitors for human kallikrein 7.,2012,13
10.3390/vaccines10071019,"In Silico Designed Multi-Epitope Immunogen ""Tpme-VAC/LGCM-2022"" May Induce Both Cellular and Humoral Immunity against Treponema pallidum Infection.",2022,1
10.1128/genomea.01302-15,"Whole-Genome Sequence of Leptospira interrogans Serovar Hardjo Subtype Hardjoprajitno Strain Norma, Isolated from Cattle in a Leptospirosis Outbreak in Brazil",2015,2
10.1039/c2cp42813j,Electrodeposition of catalytic and magnetic gold nanoparticles on dendrimer-carbon nanotube layer-by-layer films.,2012,1
10.1016/b978-0-12-800773-0.00010-0,Antioxidant Treatment and Alcoholism,2016,1
10.5402/2012/342075,Evaluation of Cytokines in Endocervical Secretion and Vaginal pHfrom Women with Bacterial Vaginosis or Human Papillomavirus,2012,3
10.4137/cmo.s6927,The Role of T Lymphocytes in Cancer Patients Undergoing Immunotherapy with Autologous Dendritic Cells,2011,2
10.4049/jimmunol.175.8.5298,Cloning of the gene encoding a protective Mycobacterium tuberculosis secreted protein detected in vivo during the initial phases of the infectious process.,2005,2
10.1152/ajpregu.00608.2001,Opposite effects of iv amiodarone on cardiovascular vagal and sympathetic efferent activities in rats.,2002,1
10.1054/tube.2001.0311,"Evaluation of DPPD, a single recombinant Mycobacterium tuberculosis protein as an alternative antigen for the Mantoux test",2001,1
10.1016/j.jelekin.2010.10.013,Multi-joint movements with reversal in Parkinson’s disease: Kinematics and electromyography,2010,1
10.1016/j.ijantimicag.2017.06.007,Amiodarone and itraconazole improve the activity of pentavalent antimonial in the treatment of experimental cutaneous leishmaniasis.,2017,2
10.1016/j.nut.2004.05.008,Niacin metabolite excretion in alcoholic pellagra and AIDS patients with and without diarrhea,2004,1
10.1155/2013/340959,Pulmonary Innate Immune Response and Melatonin Receptors in the Perinatal Stress,2013,1
10.1016/j.ejphar.2016.02.058,Effects of aspirin-triggered resolvin D1 on peripheral blood mononuclear cells from patients with Chagas' heart disease.,2016,2
10.3390/sports10080120,Acute Supplementation with Capsaicin Enhances Upper-Limb Performance in Male Jiu-Jitsu Athletes.,2022,1
10.1007/s00262-009-0707-6,Local expression of interferon-alpha and interferon receptors in cervical intraepithelial neoplasia,2009,1
10.1590/s0037-86822008000100013,Chagas disease as a mechanistic model for testing a novel hypothesis,2008,1
10.1016/j.earlhumdev.2006.01.013,Assessment of renal maturity by assisted morphometry in autopsied fetuses,2006,1
10.1590/bjpt-rbf.2014.0138,Stimulus electrodiagnosis and motor and functional evaluations during ulnar nerve recovery,2016,1
10.1113/expphysiol.2011.063925,Acute adenosine increases cardiac vagal and reduces sympathetic efferent nerve activities in rats.,2012,1
10.1111/j.1440-1681.2008.04866.x,Increased cardiac sympathetic drive and reduced vagal modulation following endothelin receptor antagonism in healthy conscious rats.,2008,2
10.1016/j.ejogrb.2009.07.015,Expression of the melatonin receptor and tryptophan hydroxylase in placentas of the fetus with intra-uterine stress.,2009,1
10.1109/isgt-la.2019.8895342,System Frequency Support by Synthetic Inertia Control via BESS,2019,1
10.2174/1872214807666140107152008,Dendritic cell vaccine and cancer treatment: new patents.,2014,2
10.1590/1806-9649.2020v28e4933,Evaluating supplier sustainability using fuzzy 2-tuple representation,2021,1
10.1021/acs.jchemed.8b00267,"Teaching Students How to Troubleshoot, Repair, and Maintain Magnetic Stirring Hot Plates Using Low-Cost Parts or Repurposed Materials.",2018,2
10.1016/j.bjorl.2019.08.010,Interferon-α action in cytokine profile in eosinophilic nasal polyp cultures.,2019,1
10.1590/s0100-879x2004001000019,Glutamatergic neurotransmission modulates hypoxia-induced hyperventilation but not anapyrexia,2004,1
10.1007/bf02739693,Thyroid peroxidase and thyroglobulin expression in normal human thyroid glands,1998,19
10.1590/0037-8682-0255-2013,High similarity of Trypanosoma cruzi kDNA genetic profiles detected by LSSP-PCR within family groups in an endemic area of Chagas disease in Brazil.,2014,1
10.1590/s0034-89101994000200009,Calculation for recommendations regarding protein intake: their application to children and adults taking Brazilian foods,1994,1
10.1590/s0037-86821987000400006,ELISA immunoenzymatic assay in the pericardial fluid: a new method for the post-mortem diagnosis of Chagas disease,1987,2
